infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeOverBarkM3Ha,volumeUnderBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"plot-40-588-Species23","ifn2","40-588","Segovia","Navas de Oro","Species23","Pinus pinea",,5.09,1.5750377,9.365512,7.6309778,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-588-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-588","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-588-Species26","ifn2","40-588","Segovia","Navas de Oro","Species26","Pinus pinaster",,63.92,10.149621,71.2051045,55.2601348,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-588-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-588","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-745-Species26","ifn2","40-745","Segovia","Fuenterrebollo","Species26","Pinus pinaster",,165.79,12.9768586,82.4633075,56.092899,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-745-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-745","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1150-Species23","ifn2","40-1150","Segovia","Montejo de Arévalo","Species23","Pinus pinea",,84.86,9.7369825,39.6400806,29.1115564,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1150-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1150","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1150-Species26","ifn2","40-1150","Segovia","Montejo de Arévalo","Species26","Pinus pinaster",,42.42,3.5946946,16.1601562,10.1224415,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1150-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1150","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1151-Species23","ifn2","40-1151","Segovia","Santiuste de San Juan Bautista","Species23","Pinus pinea",,88.41,7.3188109,37.2547859,27.5283064,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1151-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1151","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1151-Species26","ifn2","40-1151","Segovia","Santiuste de San Juan Bautista","Species26","Pinus pinaster",,42.42,3.5064216,18.4132923,12.3520525,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1151-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1151","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1152-Species23","ifn2","40-1152","Segovia","Montejo de Arévalo","Species23","Pinus pinea",,80.9,7.9264286,27.1865961,19.6372127,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1152-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1152","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1152-Species26","ifn2","40-1152","Segovia","Montejo de Arévalo","Species26","Pinus pinaster",,91.95,3.1702758,11.5462621,6.6308309,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1152-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1152","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1155-Species23","ifn2","40-1155","Segovia","Donhierro","Species23","Pinus pinea",,66.75,7.4697508,28.8094552,21.0632892,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1155-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1155","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
