infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeOverBarkM3Ha,volumeUnderBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"plot-40-1441-Species23","ifn2","40-1441","Segovia","Santa María la Real de Nieva","Species23","Pinus pinea",,57.7,7.2299988,36.027907,26.9346423,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1441-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1441","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1441-Species26","ifn2","40-1441","Segovia","Santa María la Real de Nieva","Species26","Pinus pinaster",,56.57,5.1659297,28.48164,19.1320956,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1441-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1441","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1441-Species45","ifn2","40-1441","Segovia","Santa María la Real de Nieva","Species45","Quercus ilex",,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1441-Species45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1441","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species45"
"plot-40-1446-Species23","ifn2","40-1446","Segovia","Muñopedro","Species23","Pinus pinea",,164.23,9.878059,35.8120755,25.1199357,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1446-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1446","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1446-Species26","ifn2","40-1446","Segovia","Muñopedro","Species26","Pinus pinaster",,28.28,1.4423347,5.1574769,3.0655997,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1446-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1446","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1446-Species45","ifn2","40-1446","Segovia","Muñopedro","Species45","Quercus ilex",,,,,,45,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1446-Species45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1446","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species45"
"plot-40-1446-Species15","ifn2","40-1446","Segovia","Muñopedro","Species23","Pinus pinea",,164.23,9.878059,35.8120755,25.1199357,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1446-Species15","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1446","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1450-Species45","ifn2","40-1450","Segovia","Muñopedro","Species45","Quercus ilex",,,,,,45,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1450-Species45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1450","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species45"
"plot-40-1450-Species23","ifn2","40-1450","Segovia","Muñopedro","Species23","Pinus pinea",,34.5,6.5529252,35.216259,28.0757689,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1450-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1450","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1450-Species26","ifn2","40-1450","Segovia","Muñopedro","Species26","Pinus pinaster",,31.83,0.7182537,2.717909,1.3985618,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1450-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1450","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1453-Species23","ifn2","40-1453","Segovia","Muñopedro","Species23","Pinus pinea",,5.09,1.14705,4.592905,3.5105392,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1453-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1453","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
