infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeWithBarkM3Ha,volumeWithoutBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"info-40-1166-A-1-23","ifn3","40-1166-A-1","Segovia","Aldehuela del Codonal","Species23","Pinus pinea",50,79.2238,10.840150000000001,52.35013,39.81285,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1166-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1166-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1166-A-1-26","ifn3","40-1166-A-1","Segovia","Aldehuela del Codonal","Species26","Pinus pinaster",40,19.24006,2.551036,15.355630000000001,10.14804,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1166-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1166-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1166-A-1-58","ifn3","40-1166-A-1","Segovia","Aldehuela del Codonal","Species58","Populus nigra",10,470.3915,13.63747,57.59102,48.8524,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1166-A-1-58","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1166-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species58"
"info-40-1168-A-1-23","ifn3","40-1168-A-1","Segovia","Juarros de Voltoya","Species23","Pinus pinea",40,15.27888,5.404464,25.296689999999998,20.73688,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1168-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1168-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1168-A-1-26","ifn3","40-1168-A-1","Segovia","Juarros de Voltoya","Species26","Pinus pinaster",60,289.5913,9.55027,36.679939999999995,21.619979999999998,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1168-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1168-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1171-A-1-26","ifn3","40-1171-A-1","Segovia","Juarros de Voltoya","Species26","Pinus pinaster",40,152.0814,7.512394999999999,29.11041,17.28886,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1171-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1171-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1171-A-1-23","ifn3","40-1171-A-1","Segovia","Juarros de Voltoya","Species23","Pinus pinea",50,10.18592,3.87242,18.33697,15.18298,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1171-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1171-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1171-A-1-45","ifn3","40-1171-A-1","Segovia","Juarros de Voltoya","Species45","Quercus ilex",10,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1171-A-1-45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1171-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species45"
"info-40-1187-A-1-23","ifn3","40-1187-A-1","Segovia","Carbonero el Mayor","Species23","Pinus pinea",40,56.5884,4.580509,19.473209999999998,14.05244,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1187-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1187-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1187-A-1-45","ifn3","40-1187-A-1","Segovia","Carbonero el Mayor","Species45","Quercus ilex",20,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1187-A-1-45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1187-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species45"
"info-40-1187-A-1-26","ifn3","40-1187-A-1","Segovia","Carbonero el Mayor","Species26","Pinus pinaster",40,190.9861,10.596079999999999,43.05814,25.779970000000002,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1187-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1187-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1212-A-1-23","ifn3","40-1212-A-1","Segovia","Nava de la Asunción","Species23","Pinus pinea",60,53.759,7.0806000000000004,28.77539,21.309289999999997,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1212-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1212-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1212-A-1-26","ifn3","40-1212-A-1","Segovia","Nava de la Asunción","Species26","Pinus pinaster",40,19.24006,2.188526,12.088049999999999,8.21306,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1212-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1212-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1217-A-1-23","ifn3","40-1217-A-1","Segovia","Nava de la Asunción","Species23","Pinus pinea",90,30.5577,7.03712,34.5724,26.91176,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1217-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1217-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1217-A-1-26","ifn3","40-1217-A-1","Segovia","Nava de la Asunción","Species26","Pinus pinaster",10,28.2942,1.8091650000000001,8.013819999999999,4.871639999999999,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1217-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1217-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1228-A-3E-23","ifn3","40-1228-A-3E","Segovia","Nava de la Asunción","Species23","Pinus pinea",40,155.6182,4.86574,17.4921,11.405280000000001,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1228-A-3E-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1228-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1228-A-3E-26","ifn3","40-1228-A-3E","Segovia","Nava de la Asunción","Species26","Pinus pinaster",60,70.7356,4.599270000000001,21.85603,13.45047,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1228-A-3E-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1228-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1241-A-1-23","ifn3","40-1241-A-1","Segovia","Tabanera la Luenga","Species23","Pinus pinea",10,19.24006,1.836176,7.89376,5.87096,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1241-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1241-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1241-A-1-26","ifn3","40-1241-A-1","Segovia","Tabanera la Luenga","Species26","Pinus pinaster",90,33.38716,3.836845,19.848309999999998,13.10156,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1241-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1241-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1275-A-1-23","ifn3","40-1275-A-1","Segovia","Mozoncillo","Species23","Pinus pinea",10,10.18592,2.5197249999999998,16.91988,13.738510000000002,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1275-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1275-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1275-A-1-26","ifn3","40-1275-A-1","Segovia","Mozoncillo","Species26","Pinus pinaster",90,536.7419,38.578059999999994,254.17469999999997,162.53080999999997,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1275-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1275-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1277-A-1-23","ifn3","40-1277-A-1","Segovia","Mozoncillo","Species23","Pinus pinea",10,5.09296,1.66926,11.9346,10.0267,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1277-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1277-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1277-A-1-26","ifn3","40-1277-A-1","Segovia","Mozoncillo","Species26","Pinus pinaster",90,226.35388,36.62460000000001,295.22327,217.37333999999998,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1277-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1277-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1292-A-1-23","ifn3","40-1292-A-1","Segovia","Escarabajosa de Cabezas","Species23","Pinus pinea",30,89.97576000000001,7.683940000000001,35.18333,25.85674,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1292-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1292-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1292-A-1-45","ifn3","40-1292-A-1","Segovia","Escarabajosa de Cabezas","Species45","Quercus ilex",20,63.662,1.02363,2.90194,2.27145,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1292-A-1-45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1292-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species45"
