plotId,ifn,province,municipality,latWGS84,lngWGS84,dataCapture,plotifn2Id,plotIri,plotifn2Iri
"40-34-A-1","ifn3","Segovia","Cuéllar",41.443699,-4.270128,"2/6/2004","40-34","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-34-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-34"
"40-40-A-1","ifn3","Segovia","Cuéllar",41.434427,-4.293884,"2/10/2004","40-40","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-40-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-40"
"40-41-A-1","ifn3","Segovia","Cuéllar",41.434694,-4.269952,"2/6/2004","40-41","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-41-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-41"
"40-43-A-1","ifn3","Segovia","Cuéllar",41.425013,-4.329599,"2/12/2004","40-43","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-43-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-43"
"40-62-A-1","ifn3","Segovia","Vallelado",41.378991,-4.412371,"1/27/2004","40-62","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-62-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-62"
"40-73-A-1","ifn3","Segovia","Mata de Cuéllar",41.369083,-4.483897,"12/17/2003","40-73","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-73-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-73"
"40-85-A-1","ifn3","Segovia","Cuéllar",41.370844,-4.340452,"3/8/2004","40-85","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-85-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-85"
"40-95-A-1","ifn3","Segovia","Remondo",41.360079,-4.483692,"12/17/2003","40-95","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-95-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-95"
"40-132-A-1","ifn3","Segovia","Chañe",41.342526,-4.447438,"1/14/2004","40-132","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-132-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-132"
"40-150-A-1","ifn3","Segovia","Cuéllar",41.334257,-4.387503,"1/30/2004","40-150","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-150-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-150"
"40-169-A-1","ifn3","Segovia","San Miguel de Bernuy",41.38377,-3.946051,"3/8/2004","40-169","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-169-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-169"
"40-372-A-1","ifn3","Segovia","Villaverde de Íscar",41.287258,-4.54175,"2/3/2004","40-372","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-372-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-372"
"40-373-A-1","ifn3","Segovia","Villaverde de Íscar",41.287417,-4.529812,"2/5/2004","40-373","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-373-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-373"
"40-376-A-1","ifn3","Segovia","Villaverde de Íscar",41.278253,-4.541538,"2/3/2004","40-376","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-376-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-376"
"40-388-A-3E","ifn3","Segovia","Villeguillo",41.242075,-4.55262,"3/9/2004","40-388","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-388-A-3E","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-388"
"40-395-A-1","ifn3","Segovia","Coca",41.206217,-4.539845,"3/13/2004","40-395","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-395-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-395"
"40-396-A-1","ifn3","Segovia","Coca",41.197053,-4.551556,"2/23/2004","40-396","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-396-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-396"
"40-398-A-1","ifn3","Segovia","Santiuste de San Juan Bautista",41.188208,-4.539423,"12/4/2003","40-398","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-398-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-398"
"40-400-A-1","ifn3","Segovia","Remondo",41.33291,-4.495026,"1/23/2004","40-400","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-400-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-400"
"40-402-A-1","ifn3","Segovia","Cuéllar",41.325818,-4.339529,"11/25/2003","40-402","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-402-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-402"
"40-422-A-1","ifn3","Segovia","Fresneda de Cuéllar",41.306356,-4.458583,"11/13/2003","40-422","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-422-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-422"
"40-432-A-1","ifn3","Segovia","Fresneda de Cuéllar",41.297352,-4.458382,"11/13/2003","40-432","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-432-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-432"
